Product Name,Price,Miles,Dealername,Rating,Location,Reviews
2016 Hyundai Genesis Coupe 3.8 Base,10995,98848,Blue Sky Automotive,0.0,"Chicago, IL (6 mi.)",0
2023 Nissan Frontier SV,25845,48982,Kingdom Chevrolet,4.4,"Chicago, IL (8 mi.)",389
2024 Mazda CX-90 Base,40988,7981,Loeber Motors Mercedes-Benz,0.0,"Lincolnwood, IL (11 mi.)",0
2019 Mazda CX-9 Sport,21998,58532,CarMax Warner Robins,0.0,Location not found,4
2005 Mercedes-Benz CL-Class 2dr Coupe,77888,20692,iCars Chicago,5.0,"Skokie, IL (13 mi.)",538
2023 Honda Passport EX-L,37998,8683,CarMax Bristol,0.0,Location not found,7
2011 Jeep Grand Cherokee Laredo,10788,94560,Jennings Chevy / VW,4.7,"Glenview, IL (15 mi.)",1564
2003 Lexus LS 430 Base,4995,138507,Baha Auto Group,0.0,"Palos Hills, IL (16 mi.)",1
2011 Ford E250 Cargo,8995,181000,OKAZ MOTORS,0.0,"Elmhurst, IL (17 mi.)",157
1994 Mitsubishi 3000GT VR-4,18500,119680,Not found,0.0,"Glenview, IL (17 mi.)",0
2008 Subaru Tribeca Base,5990,161812,Coda Motors,1.7,"Burr Ridge, IL (19 mi.)",96
2024 Mercedes-Benz GLC 300 4MATIC,47980,15645,Ultimo Motors East,4.2,"Westmont, IL (19 mi.)",147
1964 Mercury Comet Sedan,14910,1000,Ogden Lincoln Of Westmont,3.9,"Westmont, IL (19 mi.)",163
2008 Mercury Milan I4 Premier,11995,35961,Oswego Motors,4.2,"Oswego, IL (21 mi.)",28
2024 Audi RS 7 4.0T Performance,144040,0,The Audi Exchange,4.5,"Highland Park, IL (24 mi.)",993
2021 Mercedes-Benz GLB 250 4MATIC,29587,34595,The Audi Exchange,4.5,"Highland Park, IL (24 mi.)",993
2003 Lexus GX 470 Base (A5),9995,182764,Affinity Auto Sales,4.0,"West Chicago, IL (25 mi.)",51
2017 Mercedes-Benz B-Class Electric Drive,16998,36108,CarMax Schaumburg,3.5,"Schaumburg, IL (26 mi.)",42
2020 Mercedes-Benz AMG C 43 AMG C 43 4MATIC,38995,51242,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,4.4,"Arlington Heights, IL (26 mi.)",3364
2013 Volvo XC70 T6,9490,148790,Schaumburg Motor Cars,0.0,"Schaumburg, IL (26 mi.)",2
2008 Saturn Aura XE,5795,90654,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,4.4,"Arlington Heights, IL (26 mi.)",3364
2018 Chrysler 300 Touring,16595,92780,Fair Oaks Ford,4.7,"Naperville, IL (30 mi.)",3772
2021 Audi RS 7 4.0T,78995,31481,Auto's of Chicago,4.0,"Arlington Heights, IL",83
2024 Jeep Grand Cherokee 4xe Base,49701,0,Chrysler Dodge Jeep Ram of Chicago,4.1,"Chicago, IL (8 mi.)",322
2024 Jeep Grand Cherokee 4xe Base,49733,0,Chrysler Dodge Jeep Ram of Chicago,4.1,"Chicago, IL (8 mi.)",322
2024 Jeep Grand Cherokee 4xe Base,50191,0,Chrysler Dodge Jeep Ram of Chicago,4.1,"Chicago, IL (8 mi.)",322
2023 Honda CR-V EX,31998,11974,CarMax Pharr,0.0,Location not found,2
2025 Mazda Mazda3 2.5 Turbo AWD,37778,0,McGrath City Mazda,4.6,"Chicago, IL (9 mi.)",727
2021 Nissan Murano Platinum,28967,20846,Berman INFINITI of Niles,4.5,"Niles, IL (12 mi.)",72
2020 Nissan Pathfinder Platinum 2WD,21465,82166,Napleton Ford of Oak Lawn,4.3,"Oak Lawn, IL (14 mi.)",3057
2025 Buick Enclave TOURING,46788,0,Ettleson Buick GMC,4.9,"Hodgkins, IL (14 mi.)",1403
2016 smart ForTwo Pure,10998,76293,CarMax Bakersfield,0.0,Location not found,4
